,model,data,ticker,timeframe,datasize,MAPE,DirecAccuracy,MSE
968,LGBMTunedwithClose,gbm_nl,^DJI,hourly,54,0.011765316282551487,0.48148148148148145,364009.0634341033
969,LGBMTunedwithClose,gbm_nl,^GSPC,hourly,54,0.003075640482569797,0.46296296296296297,200.32507545954664
970,LGBMTunedwithClose,gbm_nl,^N225,hourly,55,0.00514872006538082,0.43636363636363634,39166.281005695106
971,LGBMTunedwithClose,gbm_nl,^NSEI,hourly,56,0.03277207828224333,0.6428571428571429,1363830.8857355714
972,LGBMTunedwithClose,jump_diffusion,AAPL,daily,67,0.019525320405610894,0.44776119402985076,2.952303261383637
973,LGBMTunedwithClose,jump_diffusion,BIRET.BO,daily,68,0.01218368314164894,0.5147058823529411,3.3475202299942173
974,LGBMTunedwithClose,jump_diffusion,DLF.NS,daily,68,0.03757723006182069,0.5588235294117647,1408.9009222008865
975,LGBMTunedwithClose,jump_diffusion,EMBASSY.BO,daily,68,0.027308224714806224,0.5294117647058824,162.76403401293896
976,LGBMTunedwithClose,jump_diffusion,GC=F,daily,69,0.013416927528459407,0.5652173913043478,1208.2423981233835
977,LGBMTunedwithClose,jump_diffusion,GODREJPROP.NS,daily,68,0.022068857264264857,0.5441176470588235,929.4962044421228
978,LGBMTunedwithClose,jump_diffusion,GOOGL,daily,67,0.03146781108233163,0.40298507462686567,1.344370115334392
979,LGBMTunedwithClose,jump_diffusion,LODHA.NS,daily,68,0.16357125398655284,0.47058823529411764,35353.95506875202
980,LGBMTunedwithClose,jump_diffusion,META,daily,67,0.07584024909080898,0.417910447761194,28448.01051083391
981,LGBMTunedwithClose,jump_diffusion,MINDSPACE.BO,daily,68,0.018699893732525317,0.5,216.1162610265939
982,LGBMTunedwithClose,jump_diffusion,MSFT,daily,67,0.016997815403858772,0.3880597014925373,4.007506810213004
983,LGBMTunedwithClose,jump_diffusion,NVDA,daily,67,0.03618514388851972,0.4626865671641791,2.4957698211210045e-05
984,LGBMTunedwithClose,jump_diffusion,NXST.BO,daily,68,0.05779796252648836,0.5294117647058824,109.81548495111304
985,LGBMTunedwithClose,jump_diffusion,OBEROIRLTY.NS,daily,68,0.016091896716755913,0.5,168.97159687950415
986,LGBMTunedwithClose,jump_diffusion,^DJI,daily,67,0.009798210374422862,0.5223880597014925,53463.55229191482
987,LGBMTunedwithClose,jump_diffusion,^GSPC,daily,67,0.01233129449927873,0.4626865671641791,4090.897259348768
988,LGBMTunedwithClose,jump_diffusion,^N225,daily,65,0.014962742837363326,0.5692307692307692,1813579.312702271
989,LGBMTunedwithClose,jump_diffusion,^NSEI,daily,67,0.013175360191020996,0.5373134328358209,381099.4611862911
990,LGBMTunedwithClose,jump_diffusion,AAPL,hourly,188,0.004248041679450744,0.4787234042553192,2.370654775262632
991,LGBMTunedwithClose,jump_diffusion,BIRET.BO,hourly,56,0.0037832622838486463,0.5178571428571429,1.629822277268654
992,LGBMTunedwithClose,jump_diffusion,DLF.NS,hourly,56,0.03920644611487545,0.4107142857142857,1049.9543447890762
993,LGBMTunedwithClose,jump_diffusion,EMBASSY.BO,hourly,56,0.07798681519620587,0.42857142857142855,852.6352491737551
994,LGBMTunedwithClose,jump_diffusion,GC=F,hourly,315,0.0020593607618018947,0.5142857142857142,57.08794661218998
995,LGBMTunedwithClose,jump_diffusion,GODREJPROP.NS,hourly,56,0.008819129150293883,0.5,3459.7981845498716
996,LGBMTunedwithClose,jump_diffusion,GOOGL,hourly,188,0.0042964026805956505,0.4308510638297872,0.20736831791283375
997,LGBMTunedwithClose,jump_diffusion,LODHA.NS,hourly,56,0.009839304440719834,0.39285714285714285,596.5784676566115
998,LGBMTunedwithClose,jump_diffusion,META,hourly,188,0.007767811948686166,0.4787234042553192,25.174723787135097
999,LGBMTunedwithClose,jump_diffusion,MINDSPACE.BO,hourly,56,0.005257554603823304,0.44642857142857145,8.865236738712209
1000,LGBMTunedwithClose,jump_diffusion,MSFT,hourly,188,0.004184360558004847,0.5638297872340425,7.197337743273566
1001,LGBMTunedwithClose,jump_diffusion,NVDA,hourly,188,0.010965383075591872,0.48936170212765956,0.8606791435400987
1002,LGBMTunedwithClose,jump_diffusion,NXST.BO,hourly,56,0.004800803280570345,0.44642857142857145,0.7337743397151316
1003,LGBMTunedwithClose,jump_diffusion,OBEROIRLTY.NS,hourly,56,0.006502194547834316,0.6071428571428571,177.45881890580728
