Date,Open,High,Low,Close,Volume,logReturns
2024-05-30,117.4198034890453,119.04815342256458,116.71387280674642,118.25750732421875,42654,0.0070287901704342345
2024-05-31,120.38470176278281,122.8130976096251,117.88099774612449,119.63170623779297,72079,0.011553396463397323
2024-06-03,122.8319317021472,123.16137174660977,118.81283640690175,120.55413055419922,7178,0.007680959574928474
2024-06-04,118.7563669128058,121.12829808777089,115.772634875653,119.03874206542969,29134,-0.01264986457848436
2024-06-05,121.41065979003906,122.926058100302,119.93290479359716,121.41065979003906,5398,0.019729678235040477
2024-06-06,121.44830290936547,122.36130766166272,118.99166377336273,121.4200668334961,9121,7.747819719972139e-05
2024-06-07,122.36131530391414,127.80168648152785,120.00821308653117,125.33563995361328,16775,0.0317390983031599
2024-06-10,125.18504411086434,125.18504411086434,122.17307599717765,122.40838623046875,12958,-0.023632375751654333
2024-06-11,123.11430948115286,123.11430948115286,120.50706823262685,121.90010070800781,7263,-0.004161020046460701
2024-06-12,124.14966644790047,124.14966644790047,121.04358303063556,123.62257385253906,14290,0.014031302055473701
2024-06-13,124.14967759539296,126.53101608895612,124.14967759539296,126.12628936767578,17965,0.020050536861504088
2024-06-14,123.60376006306805,126.99221863589025,123.60376006306805,126.46512603759766,5820,0.0026828851061317127
2024-06-18,126.5027768493055,128.48879581124672,124.12143841522109,125.30741119384766,4934,-0.009196578913220317
2024-06-19,123.34962029630968,127.87698663482391,123.34962029630968,127.53813934326172,10095,0.017645444221984507
2024-06-20,127.53815406274893,128.85588570302002,123.02019444122308,128.639404296875,12794,0.00859772267174749
2024-06-21,128.00876049760055,129.8159412752796,126.36158894707995,128.71469116210938,12421,0.0005850838880010761
2024-06-24,131.30310338452347,131.89608973764666,129.89124205780817,130.97366333007812,8773,0.017398001176240456
2024-06-25,131.12426672228463,132.64907237555835,130.47480820709137,132.15963745117188,8840,0.009014306804638314
2024-06-26,132.23494915912687,134.14566718089017,131.77373591304016,133.5620880126953,14046,0.010555881959451688
2024-06-27,135.52928528036944,135.52928528036944,131.22780738087158,132.46083068847656,7057,-0.008279464194118702
2024-06-28,132.7149701498801,134.59745199597768,131.5384189960691,132.4420166015625,3451,-0.0001420451847774617
2024-07-01,132.6208316966453,135.15277191310406,131.7737206658148,134.65391540527344,12722,0.0165629581326955
2024-07-02,135.35044559654315,136.4799318149865,132.2537549628765,136.27285766601562,12180,0.01195128493383599
2024-07-03,137.32703862039963,141.1861319725271,132.92203819671087,134.2491912841797,24434,-0.014961472742259693
